split,dòng gốc,lý do loại,văn bản (rút gọn)
train,862,quảng cáo / tin nhắn nhà mạng,Quy khach da thanh toan thanh cong 5750d tien ung tu DV Ung tien linh hoat Airtime Credit qua dau so 9118 (ngay ung va so tien ung cua Quy khach: 19/12/2021 - 5000d). So tien con phai thanh toan la: 0
train,935,chuỗi ký tự vô nghĩa (gibberish),Okkkkkkkkk okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk kkkkkkk
train,941,chuỗi ký tự vô nghĩa (gibberish),Bzhsbsnsjsjjsjsjsjjsjsbzbshshshshshshshsbsbznznznznnznznznz
train,946,quảng cáo / tin nhắn nhà mạng,VinaPhone: Goi ngay tel:0241098 va lam theo huong dan de thuc hien cuoc goi ngay ca khi tai khoan het tien. Quy khach duoc ung toi da 10 phut  thoai tu dich vu SmartShare. Cuoc goi noi mang 1.730d/phu
train,947,chuỗi ký tự vô nghĩa (gibberish),………….61829916291910100101029okkkkkkkkkkkkkkkkkkkkkkk
train,951,chuỗi ký tự vô nghĩa (gibberish),Vfrdfghjjjjhuyfffggggggggghghhhhhhyyhhhhhhhhhhgxdxfggghuhj
train,1022,chuỗi ký tự vô nghĩa (gibberish),Nsdn dndmf dnfnfnfnfnfnmfnf f fbfnfnfnfnfnnfnfnfnfnfnfnnfnfnfnfnfnfnfnfnnfnfng
train,1024,chuỗi ký tự vô nghĩa (gibberish),"Oánosbsksbahabsisj
Síhissjshsgisbsisgslsvaiafyaavjsnsjsbs
Dipdhekshebsisgskshsns
Dượndosjsisnsgaosjiskduissnhsjs
Gsnshlsnsosnbskskdksnd
Ok"
train,1031,chuỗi ký tự vô nghĩa (gibberish),Stnysntwj5qh4qh4qhwtjtwjwtjtsjsymsymsyntstsntsntanrama
train,1057,chuỗi ký tự vô nghĩa (gibberish),Zjsnsbsj sbsbejend djdjebbn bzsnsndnd  ênnr rbrbjrbr tbrbrrb rnrjrjrnf  tjtjt fnf
train,1099,chuỗi ký tự vô nghĩa (gibberish),Uvjpcgicufxgiccicyovyovoygyicycigcticgicbk lnlnkbibigugufydycihobljiztidyixhhl jl ljcupfuofyidtidoyxpucupfupfpufupfiphkb
train,1113,chuỗi ký tự vô nghĩa (gibberish),Snxjoxkdhsbsshisoakajavsklsksbdvdhdhzjjznzbsbzbzvzzvzvjs
train,1145,chuỗi ký tự vô nghĩa (gibberish),Depppppppppppppppppppppppppppppppppppppp mùi thơm okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
train,1159,chuỗi ký tự vô nghĩa (gibberish),"Nghìn like♡♡ 저는 인터넷 서핑이 취미입니다. 나는 친구를 사귀고, 공부하고, 오락하고, 내가 필요한 정보를 빠르고 편리하게 찾을 수 있다."
train,1175,chuỗi ký tự vô nghĩa (gibberish),ndndjdbdbdbdbdbxbcbdbdbdebsjdhsbbdndbdbdbdbdbđbdbbd
train,1176,quảng cáo / tin nhắn nhà mạng,"https://shp.ee/4ss65b5
shop Valino mình bán máy cạo râu, hàng đẹp chất lượng cao. Mọi người mua dùng hoặc làm quà tặng cho chồng người yêu... Đàn ông rất thích đồ này đấy ạ.
Bấm vào link để vào shop h"
train,1240,chuỗi ký tự vô nghĩa (gibberish),DtbknhvtctxybompnyxeztjokivtxthomudwFvbgsqqtiohbbbg
train,1257,chuỗi ký tự vô nghĩa (gibberish),Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
train,1340,chuỗi ký tự vô nghĩa (gibberish),Rry9yodyddyudxuuldldlyxlxlxcufig9uuijhhg😌😌😐😌😐😌😐🙂😐😌😏😌🤣😌🤣😌7
train,1357,chuỗi ký tự vô nghĩa (gibberish),Jbjbkfw cks cjs dua jdbjwdbjwbdjwbdhvduvwudvwibdjbdjwbdiwb
train,1376,quảng cáo / tin nhắn nhà mạng,"https://thi.tuyensinh247.com/dap-an-de-thi-vao-lop-10-mon-toan-hung-yen-nam-2021-c29a62963.htmlChào mừng bạn đến với bảng nhớ tạm của Gboard, bất kỳ văn bản nào bạn sao chép sẽ được lưu tại đây.Sử dụn"
train,1392,chuỗi ký tự vô nghĩa (gibberish),Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
train,1423,quảng cáo / tin nhắn nhà mạng,"Viettel TB: Goi MI3K da gia han thanh cong. Phi 3.000d/ngay co 100MB su dung den 24h. Het 100MB truy cap theo goi Mobile Internet dang su dung (neu co). De kiem tra luu luong, soan KTTK gui 191. De hu"
train,1429,chuỗi ký tự vô nghĩa (gibberish),Shhwvdjsgdhahshahdhjahdhsbsjajshshshhshwueudhsjjwjw
train,1438,chuỗi ký tự vô nghĩa (gibberish),Jjshshshhhhshshshshshdhdhdhddhhhhhhhhhhhhhhhhhhhhh
train,1441,chuỗi ký tự vô nghĩa (gibberish),Hzhshhsjdjdkdndhhdjskshxbxgciydkgxicuxigz
train,1476,chuỗi ký tự vô nghĩa (gibberish),Hđhiệncncjệmdjhfffujjjhgbjdieieifhehdbfjjdjejggdbdjejd
train,1505,chuỗi ký tự vô nghĩa (gibberish),Rat đẹppppppppppppppppppppppppppppppppppppppppppppp
train,1558,chuỗi ký tự vô nghĩa (gibberish),Sjsnsnffcvvffjdndnjdjdndjdnfnvncjxnzjnxnsmsmmdmxmxmxmmx
train,1584,chuỗi ký tự vô nghĩa (gibberish),okkkkk hshsshdbvdbs snsnsbsbs s s snsnsbsbshsbshshsbsbsbs
train,1619,chuỗi ký tự vô nghĩa (gibberish),Ahhajsnsbejieneneoeoneneieieieieiwiiwooii2i2i2i2i2ii22ii2
train,1624,chuỗi ký tự vô nghĩa (gibberish),Njjjjjkkkllmbvhhhbbbbbbbbbbbbbbbbbbnnjkkkkkklllllllll
train,1628,chuỗi ký tự vô nghĩa (gibberish),Dhdjdjdjdjdjjdsjjdjdjjjjjjjjjjjjjjjjjjjjsjsjsjshđhdhdh
train,1649,chuỗi ký tự vô nghĩa (gibberish),Ddssssss ccccffffffffffeewwaaxxxxffffccdaaaaaaaaaaaw
train,1668,quảng cáo / tin nhắn nhà mạng,Quy khach duoc cong 500 MB luu luong mien phi theo chuong trinh tang data khi cap nhat phien ban moi nhat ung dung My Viettel. Han su dung 7 ngay. Het luu luong truy cap theo goi cuoc Mobile Internet 
train,1772,chuỗi ký tự vô nghĩa (gibberish),Xinhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
train,1787,chuỗi ký tự vô nghĩa (gibberish),Okokokokokokokokokokokokokokokokokokokokokokokokokok
train,1806,chuỗi ký tự vô nghĩa (gibberish),"A5i3ryatuwltzkgdzgdmsgrsyryekhCzxbslutep75lruh,!, ',?"
train,1842,quảng cáo / tin nhắn nhà mạng,Hàng ok. Quy khach duoc cong 500 MB luu luong mien phi theo chuong trinh tang data khi cap nhat phien ban moi nhat ung dung My Viettel. Han su dung 7 ngay. Het luu luong truy cap theo goi cuoc Mobile 
train,1846,chuỗi ký tự vô nghĩa (gibberish),Jvccgujjnbbnjkkputresss đẹp xuất xắcccccccccccccccccc
train,1892,chuỗi ký tự vô nghĩa (gibberish),Nékjsjdnfkfvsmsndmsz.bxjdmsnzbxndwlowjdhe z xbcmdlsmcbif2ieurpeishr  i3r mđlz jxbwbsnsjwueebrocic fhdjdiđidkdkdkkvbjihhhbbbbnjkk
train,1900,chuỗi ký tự vô nghĩa (gibberish),Nxuxozpsnbshsbdiambsdidndoanabsbxjcbxjcixnzzknsnxjxx
train,1910,quảng cáo / tin nhắn nhà mạng,"[TB] DATA SIEU RE, DANG KY CUC DE
Soan ST5K gui 191: Chi 5.000d/lan co ngay 500MB toc do cao su dung den 24h ngay dang ky, DV gia han hang ngay. DAC BIET: TANG THEM 500MB khi mua lan 2 trong ngay. Chi"
train,1913,chuỗi ký tự vô nghĩa (gibberish),Hahshsususuejehhshhshhshshshdhshshshehjejssjjejejejje
train,1959,quảng cáo / tin nhắn nhà mạng,"GÓC ẨN THÂN CHI THUẬT 😎😎😎

Từ khi mua 3 con gấu bông về, tui phải mất đến 10 phút tìm mèo của mình mỗi ngày! 😂 Nhiều khi còn thắc mắc sao gấu bông gì mapdit thé!

👉 Link mua gấu bông như ảnh nha: http"
train,1984,chuỗi ký tự vô nghĩa (gibberish),Djdjjdksosldkfkoalskdfjfkkskslslslsppspsppspsfkfkkffkfkkfkfffff
train,2007,chuỗi ký tự vô nghĩa (gibberish),Haytjaqty5au5a5au5ua5auratau5ua5uaa5iia66sis6ia5ua5us6u5su
train,2014,chuỗi ký tự vô nghĩa (gibberish),218027092672 218027092672F 218027092672 218027092672h
train,2027,chuỗi ký tự vô nghĩa (gibberish),Xinhhhhhhhhhhhhhhhhhhhhhhh lắmmmmmmmmmmmmmmmmmmmmmmm
train,2077,chuỗi ký tự vô nghĩa (gibberish),sksocodockkwocmgtkosovmgkwoxkvdklckvdlwofokgkekckvkelcl
train,2098,chuỗi ký tự vô nghĩa (gibberish),Thichlắmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
train,2099,chuỗi ký tự vô nghĩa (gibberish),jvcufigicudufid6er8rirmc ncusugkckckvkckcjfjtggtffgkgkfvjvjcjfufigkgjfkfkfjfjfjfjdjdjxjcjfjjfjcjcjcjcjckckckcjckckvkvkvkcjcjvkck
train,2188,chuỗi ký tự vô nghĩa (gibberish),Tâyhwvwvvwsv sbs sbshahtahahajajakakakkakakakakakqkqkwkwjqjwbababwbsnwjwhahshabsb
train,2221,chuỗi ký tự vô nghĩa (gibberish),Tfupchfjfjgjgjgigigigigigihifjgkgkgjgkhkhkgjhkhkhgkjvjggjcfgjvhkhccjckvkbkvkvhccj
train,2261,chuỗi ký tự vô nghĩa (gibberish),Huuuuuuujjjjjjjjshsysysyshshshshshsshshshshshshshshsjshshsjsjsjsjsjsjsjauwuusysysysys
train,2270,chuỗi ký tự vô nghĩa (gibberish),ỲiftsigyIchsjdydjzyfydufydofydjdyfuduxufyufjgjdufuxyfufufifudhcudyfusud
train,2275,chuỗi ký tự vô nghĩa (gibberish),Fnrjejfjjcjhehhswui2i484t9t9fuwvabxbcnfnn43nbwcgdc9ro3bv3fkosowugr
train,2329,chuỗi ký tự vô nghĩa (gibberish),Okkkkkkkkkkkkkkkkk Okkkkkkkkkkkkkkkkk Okkkkkkkkkkkkkkkkk
train,2345,chuỗi ký tự vô nghĩa (gibberish),Cũng okokokokkkkkkkkkk
train,2365,chuỗi ký tự vô nghĩa (gibberish),Jlcupfipfpufpjfpjcfpufpjvufpigpigpigigipgupfupfuofuofpufupfpufpufcohfvuogjo
train,2386,quảng cáo / tin nhắn nhà mạng,"gay cấn khi các nhân vật mới ... in Life 3 vietsub tron bo, Penthouse: Cuộc Chiến Thượng Lưu Phần 3 subnhanh, ...
https://tradatv.com › phim › cuoc-c...
Cuộc Chiến Thượng Lưu Phần 3 - VN2 | SubNhanh -"
train,2401,chuỗi ký tự vô nghĩa (gibberish),Nkijnnjjzjskaooakakskzmnxjxjcjjcjcjxjjzjzjzkzkzkzkzkkz
train,2421,chuỗi ký tự vô nghĩa (gibberish),LOacnkajcsajchkakaichwhxhshchshhxhahzhchahhahchdhshshdh
train,2451,chuỗi ký tự vô nghĩa (gibberish),Gudveudvsjvsgsiwdtggggggggggttyhhsjveibdvjsbxbbehjevgr
train,2524,chuỗi ký tự vô nghĩa (gibberish),hhhhshshhsbsbjsjejehhshehjrndndnndndndjdndnndndnđnndndndnndndndnndndnndndndnnênnennênnennênnennênnnênnennẹdjdjjdjdjdhdhdhehdhêh
train,2562,chuỗi ký tự vô nghĩa (gibberish),Qưertyuioplkjhgfdsazxcvbbmmlkjjhggfdsaaqeryiopouyrwqwruooiyrwszfhkkjcxssfghjn.  Nczzxfhhcvgfhfyuioibbczzdfhhjjjkkk
train,2602,chuỗi ký tự vô nghĩa (gibberish),Jsjsjsjsksshshjskskskskksjsbsbsbsbbsnsnsnmsksksksksjs
train,2618,quảng cáo / tin nhắn nhà mạng,https://m.facebook.com/story.php?story_fbid=261504584240
train,2696,chuỗi ký tự vô nghĩa (gibberish),hdjdjdndn bsjsjsjd bdjdjsj dbhdjs bssisk bshshhsj bsjsjsis bshsjsjs bdjdjjd ndsisjdj bdjdjsjjd bdjdjsjs djdjjdj ndjdjdj ndjdjdjd hdjdjdjd hdjdjdjd
train,2704,chuỗi ký tự vô nghĩa (gibberish),Bxjksnshksknsnjsnxnnxkemndjxkndbksnsnjsnxnjdjsnbdnejsn
train,2725,chuỗi ký tự vô nghĩa (gibberish),Lalalalalallakalalalalallakalakakakakakkwkwkwkwkwkajawi
train,2728,chuỗi ký tự vô nghĩa (gibberish),Gaghwhhhhhwhhqhqhqhhqgqgqgwggwggwggwgwgwggwggwgwggwggwgwggwggwgwggwgwggwgwggwg
train,2730,chuỗi ký tự vô nghĩa (gibberish),"..,.......fidodjdofnfkfkfkffjfkdndidofjfjfiffkfidifod"
train,2748,quảng cáo / tin nhắn nhà mạng,66665yyyt là một trong các bạn cubgx chưa 3g Viettel là sao hả anh đừng lo nữa là đc r cơm điện sharp ra đg
train,2782,chuỗi ký tự vô nghĩa (gibberish),Xịn nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnmmmmmmmmmmmmmm
train,2850,chuỗi ký tự vô nghĩa (gibberish),Hdheusjsbdjxksksnsnsksjxnndndjdjdjdjsjdjdjjsjdjđjs
train,2860,chuỗi ký tự vô nghĩa (gibberish),...................................................
train,2911,chuỗi ký tự vô nghĩa (gibberish),"Sjtkdmufigihfuhohobmbvjigid for gohobih
Vivobovoigigicciifif full fugucivovobiguf
Zfucovovogiviciczdzdtaerygxucivivobohig"
train,2965,chuỗi ký tự vô nghĩa (gibberish),Úuevehsiabwbsvxhshevjqoqow73g3duus
train,2973,chuỗi ký tự vô nghĩa (gibberish),Okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
train,2984,chuỗi ký tự vô nghĩa (gibberish),Bhbbbbbbbjjjjhhhbbnjjjjiiugfbdtbruvdhvfl grhdf djjhjbv
train,2986,chuỗi ký tự vô nghĩa (gibberish),gfcbtwghjhhjiyrffvhhyrrffghjjjurwwfghhhhhhhhhhhhhhhh
train,3024,chuỗi ký tự vô nghĩa (gibberish),bxjxnndndndndndndnndndndndndnxnnnxnnxnxnxnxnnxnxnxnxnxn
train,3044,chuỗi ký tự vô nghĩa (gibberish),12456780loiyrqdcshsjskksvfznogsoo@#%÷¶∆(-%#*';)$√÷℅™
train,3097,chuỗi ký tự vô nghĩa (gibberish),Okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
train,3110,chuỗi ký tự vô nghĩa (gibberish),Biendonw kdmwndokwbocnwbsomdnbdokwnwkxnnejekwndbndn
train,3112,chuỗi ký tự vô nghĩa (gibberish),"Nxjxjdjsjszjjzjsjsjsjjssjjsjsjsjsjsjsjsjsjsjsjajajaaj
OK"
train,3118,chuỗi ký tự vô nghĩa (gibberish),bănhsdbhdbđbsbêjissizizjzhzbzbsjsjjszksjjdxjn nnjjjj
train,3128,chuỗi ký tự vô nghĩa (gibberish),Okiiiiiiiisjdncnxjxjxbxjxjdjdjdjdjdjdjdjdjdjdjdjdjdjjj
train,3142,chuỗi ký tự vô nghĩa (gibberish),........................................................................
train,3163,chuỗi ký tự vô nghĩa (gibberish),"Nsks xjssmdnkams x sjssmx z 
Nszjsjxnndndx ns sz 
Sdnjsz dnjszndn"
train,3169,chuỗi ký tự vô nghĩa (gibberish),Jjsahahjajsjjsjsjskkxixixixusgbenskkxixuxhxbdjsjsjixhxbdbwkakoajahanxbxhxuismdbvd
train,3189,chuỗi ký tự vô nghĩa (gibberish),Vhkirdujhssdvnjkkkkklllkvcffhhbfsafghhuufeefvvbbbh
train,3223,quảng cáo / tin nhắn nhà mạng,"Viettel TB: Quy khach da dung het luu luong Data trong ngay cua goi ST70. De mua them, soan MT5N (5.000d co 500MB) hoac MT10N (10.000d co 1GB) su dung den 24h hoac bam goi *098#. Chi tiet LH 198 (0d)."
train,3237,quảng cáo / tin nhắn nhà mạng,"[QC] HOT: NHẬN NGAY QUÀ 200.000đ miễn phí từ MOBIFONE, mua sắm & tích điểm lên tới 30% tại Shopee, Tiki, Lazada cùng 100+ thương hiệu hàng đầu. Tải MyPoint ngay để nhận quà: https://bit.ly/Qua-MyPoint"
train,3254,chuỗi ký tự vô nghĩa (gibberish),Okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
train,3259,chuỗi ký tự vô nghĩa (gibberish),Ncjdjndjdjdjdjdjdjjdjdjdjdjdjndjdjdjfjdjdjjdjdjdjn
train,3400,chuỗi ký tự vô nghĩa (gibberish),Nznznzbzbzbznznznzn nxnnxzhxbxbzbxnxnxnjxnznzjzjjz
train,3459,quảng cáo / tin nhắn nhà mạng,"Mình thích màu này cực luôn ấy. Chưa thấy dòng nào có màu giống vậy. Màu kiểu cam cam nâu nâu í mọi người. Không cam quá đâu nha. MLBB hợp đi học kinh luôn í, mỗi tội nhanh trôi hơi chánnn ewww. Nhưng"
train,3507,quảng cáo / tin nhắn nhà mạng,"Son cực lì và màu đẹp giá rẻ 
Bíbajbwwnwjwjnwnwnene@Ngọc Quyên:https://www.facebook.com/windy.smile.90 jbajsbwhwbejhehehegehehheejjeje"
train,3525,chuỗi ký tự vô nghĩa (gibberish),Jsjdjrhrj3j3hhhdhrhejejrhhfbfjdjdjdjjdjrjrjejrbbrbr
train,3526,chuỗi ký tự vô nghĩa (gibberish),Grykvfhhvffgbbbhgfffvbbgffjjhggtghttghh
train,3561,chuỗi ký tự vô nghĩa (gibberish),khá okeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
train,3606,chuỗi ký tự vô nghĩa (gibberish),Xinkkkkkkkkkkkkkkkkk
train,3655,chuỗi ký tự vô nghĩa (gibberish),rjjeeejehehhehehehehheheheehehheheheheehehheheehehhehe
train,3670,chuỗi ký tự vô nghĩa (gibberish),Đẹppppppppppppppppppppppppppppppppppppppppppppppppp
train,3686,chuỗi ký tự vô nghĩa (gibberish),Jdjejwiiwiwiwiwiwwiiwiwiwiwo2919192828eidkdmalowoqo1o2
train,3716,chuỗi ký tự vô nghĩa (gibberish),Đẹpppp nsjsjsnwnsbbssbhsbsbsbsbsbsbbsbsannnsbsbabsbabnabs
train,3757,chuỗi ký tự vô nghĩa (gibberish),Njsnsdkkđnndndndjdjjdnjdjdndndndndjdjjdjdjdjjdjênbdbbdndjdjjdndndndjdjjxnjđnjdjnsnsnsnndndndndndndndnndndjdnndndnxnxjndjdjjdjjdjẹdjjxjjxjdjdjênnndhdjjxjsiksoowjdjdjjdnfnfnndjdjdkdkeioaoksjfjdjfjfjjf
train,3761,chuỗi ký tự vô nghĩa (gibberish),Ẹbeidbjdbejebekebdjbejebebdiebejebeehehejebdhhdjej
train,3766,chuỗi ký tự vô nghĩa (gibberish),Hdhdhdhshhdhshdhhdhdhdhshhshshshsggsgsgsggsgsgsggsgshs hdhdhdhshhdhshdhhdhdhdhshhshshshsggsgsgsggsgsgsggsgshs
train,3795,chuỗi ký tự vô nghĩa (gibberish),S shs sbs ns sns sns shs sns ssb shss hussns nss sb shss hs shss hss
train,3839,chuỗi ký tự vô nghĩa (gibberish),🙂🙂🙃😘🙃🙂🙂🙂🙂🙂🙂🙂đuhdhdhxbdbchcbfbchcbccnfncjxjjddujddjdu🙂🙂
train,3849,chuỗi ký tự vô nghĩa (gibberish),aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
train,4001,chuỗi ký tự vô nghĩa (gibberish),eheb3heiejfndjwkksndurhfbfndosjfbcufjejdbcbsksksn chfhfhfjrjrbdbdhdhdhdh
train,4005,chuỗi ký tự vô nghĩa (gibberish),Son okelaaaaaaaaaaaaaaa 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰😍🥰😚🎂😌😌😍😌🎂🥰🥰😚🥰🥰🥰😍😍😍😍
train,4016,chuỗi ký tự vô nghĩa (gibberish),Dẹphdhqjsbdupfykfykdjtdyykfivobhsryjfhfvgxjvjbzkbdkbxkbkcbkxbkxbkcnc
train,4090,chuỗi ký tự vô nghĩa (gibberish),Hfjdkkshshshsueueueuejdjjdjdjdjrjejejsjdjdjdjdfhrhrhrhrhfjfjfhfjtjthjtjf
train,4108,chuỗi ký tự vô nghĩa (gibberish),Snjakananansbzbsbxbdkcndjsjsbshxhxvxnsnjsbxnxbnsnsns
train,4145,chuỗi ký tự vô nghĩa (gibberish),Qewertttioppasdfghjklvxzvbnnkiytgfhiiojvfrrfcvhkjh
train,4147,chuỗi ký tự vô nghĩa (gibberish),Đepkkjkjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjnjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjhhhhjjjjjj
train,4152,chuỗi ký tự vô nghĩa (gibberish),Xnxnjdnxnxjkdueifnnfjrkfkfkfkfkfkgkmfksksnndorurjirnrnfnflcmmcjdifkjfmfkf
train,4161,chuỗi ký tự vô nghĩa (gibberish),"Ngonnnnnnnnnnnnnnnnnnnnnnnnnnn
Xịnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn"
