review,aspect,gold,pred
1379,stayingpower,negative,positive
1407,stayingpower,negative,positive
1423,stayingpower,negative,positive
1459,stayingpower,negative,positive
1464,stayingpower,negative,positive
1489,stayingpower,,positive
7,texture,negative,positive
20,texture,negative,positive
28,texture,negative,
33,texture,negative,positive
44,texture,,positive
58,texture,,positive
64,texture,negative,positive
119,texture,negative,positive
137,texture,negative,positive
145,texture,,positive
153,texture,negative,positive
164,texture,negative,positive
186,texture,,positive
198,texture,negative,positive
204,texture,negative,positive
235,texture,negative,positive
243,texture,negative,positive
259,texture,negative,positive
273,texture,negative,positive
286,texture,,positive
311,texture,,positive
316,texture,negative,positive
327,texture,negative,positive
347,texture,negative,
349,texture,negative,positive
360,texture,,positive
368,texture,negative,positive
371,texture,negative,positive
373,texture,negative,positive
383,texture,negative,
398,texture,negative,positive
425,texture,,positive
437,texture,negative,positive
475,texture,,positive
477,texture,negative,positive
494,texture,,positive
507,texture,,positive
531,texture,,positive
558,texture,,positive
578,texture,negative,positive
583,texture,negative,positive
585,texture,negative,
598,texture,negative,
641,texture,negative,positive
652,texture,negative,positive
654,texture,negative,positive
661,texture,negative,positive
678,texture,negative,
700,texture,negative,positive
706,texture,,positive
727,texture,negative,positive
734,texture,negative,positive
761,texture,negative,positive
790,texture,negative,positive
796,texture,,positive
803,texture,negative,positive
807,texture,negative,
814,texture,,positive
824,texture,negative,positive
850,texture,negative,
860,texture,negative,positive
864,texture,negative,
893,texture,,positive
902,texture,negative,positive
920,texture,negative,
930,texture,negative,positive
940,texture,negative,positive
975,texture,negative,
981,texture,negative,positive
982,texture,,positive
990,texture,positive,
991,texture,negative,
1000,texture,negative,positive
1007,texture,negative,positive
1017,texture,negative,positive
1024,texture,,positive
1030,texture,negative,positive
1042,texture,,positive
1043,texture,,positive
1075,texture,negative,positive
1076,texture,,positive
1104,texture,,positive
1112,texture,negative,positive
1114,texture,negative,positive
1129,texture,negative,positive
1146,texture,,positive
1149,texture,negative,positive
1152,texture,,positive
1171,texture,negative,positive
1177,texture,negative,positive
1185,texture,negative,positive
1187,texture,,positive
1189,texture,,positive
1202,texture,,positive
1207,texture,negative,positive
1250,texture,,positive
1253,texture,negative,
1262,texture,,positive
1266,texture,negative,
1279,texture,negative,positive
1284,texture,,positive
1287,texture,negative,positive
1305,texture,negative,positive
1307,texture,negative,positive
1346,texture,negative,positive
1377,texture,negative,positive
1399,texture,negative,positive
1406,texture,negative,
1426,texture,negative,positive
1439,texture,,positive
1446,texture,negative,positive
1474,texture,negative,positive
1489,texture,,positive
1496,texture,negative,positive
1498,texture,negative,positive
1502,texture,negative,positive
31,smell,negative,positive
35,smell,negative,positive
48,smell,negative,positive
85,smell,negative,positive
106,smell,negative,positive
160,smell,negative,positive
165,smell,negative,positive
169,smell,positive,
219,smell,negative,positive
274,smell,negative,positive
301,smell,negative,positive
333,smell,negative,positive
407,smell,negative,positive
425,smell,positive,
434,smell,negative,positive
440,smell,negative,positive
539,smell,negative,positive
546,smell,negative,
631,smell,negative,positive
648,smell,negative,positive
656,smell,positive,
664,smell,negative,positive
689,smell,negative,positive
690,smell,negative,positive
694,smell,,positive
709,smell,negative,positive
714,smell,negative,positive
716,smell,,positive
783,smell,negative,positive
807,smell,positive,
819,smell,negative,positive
837,smell,negative,positive
862,smell,negative,positive
887,smell,positive,
893,smell,negative,positive
917,smell,negative,positive
922,smell,negative,positive
969,smell,negative,positive
981,smell,negative,positive
985,smell,,positive
1000,smell,negative,positive
1082,smell,negative,positive
1093,smell,negative,positive
1096,smell,negative,positive
1126,smell,positive,
1138,smell,negative,positive
1149,smell,negative,positive
1171,smell,negative,positive
1232,smell,positive,
1235,smell,negative,positive
1256,smell,negative,positive
1297,smell,negative,positive
1310,smell,negative,positive
1312,smell,negative,positive
1399,smell,negative,positive
1408,smell,negative,positive
1493,smell,negative,positive
1515,smell,negative,positive
50,price,negative,
148,price,negative,positive
235,price,negative,positive
252,price,,positive
277,price,positive,
394,price,,positive
429,price,positive,
612,price,positive,
648,price,negative,positive
782,price,positive,
822,price,positive,
827,price,,positive
905,price,,positive
926,price,,positive
1018,price,,positive
1200,price,negative,positive
1218,price,,positive
1245,price,positive,
1267,price,,positive
1325,price,negative,positive
1457,price,,positive
1491,price,,positive
16,colour,negative,
24,colour,,positive
32,colour,negative,positive
43,colour,negative,positive
44,colour,negative,positive
85,colour,negative,positive
100,colour,negative,positive
110,colour,,positive
143,colour,negative,
144,colour,,positive
172,colour,negative,positive
203,colour,negative,positive
230,colour,,positive
235,colour,negative,positive
253,colour,,positive
262,colour,positive,
268,colour,,positive
272,colour,negative,positive
274,colour,negative,positive
279,colour,negative,positive
301,colour,positive,
304,colour,negative,positive
315,colour,negative,positive
325,colour,negative,positive
347,colour,negative,
354,colour,negative,positive
384,colour,negative,positive
386,colour,negative,positive
397,colour,negative,positive
411,colour,,positive
417,colour,negative,
421,colour,,positive
434,colour,,positive
483,colour,negative,positive
494,colour,,positive
496,colour,positive,
505,colour,negative,positive
506,colour,negative,
510,colour,negative,positive
517,colour,,positive
552,colour,negative,positive
579,colour,negative,positive
583,colour,negative,positive
588,colour,negative,positive
591,colour,negative,
628,colour,positive,
656,colour,negative,
694,colour,positive,
716,colour,,positive
741,colour,negative,positive
749,colour,negative,positive
757,colour,negative,positive
762,colour,negative,positive
765,colour,,positive
768,colour,positive,
769,colour,,positive
824,colour,negative,positive
837,colour,positive,
838,colour,positive,
843,colour,,positive
850,colour,negative,positive
871,colour,negative,positive
905,colour,,positive
908,colour,negative,positive
920,colour,negative,positive
929,colour,,positive
930,colour,positive,
965,colour,,positive
972,colour,negative,positive
1020,colour,,positive
1025,colour,,positive
1026,colour,positive,
1028,colour,negative,positive
1066,colour,negative,positive
1107,colour,negative,positive
1120,colour,negative,positive
1131,colour,,positive
1144,colour,negative,positive
1178,colour,,positive
1188,colour,,positive
1228,colour,,positive
1237,colour,negative,positive
1262,colour,negative,positive
1313,colour,positive,
1343,colour,positive,
1347,colour,positive,
1350,colour,,positive
1356,colour,positive,
1376,colour,positive,
1399,colour,negative,positive
1431,colour,negative,positive
1438,colour,,positive
1449,colour,,positive
1457,colour,,positive
1461,colour,negative,positive
1476,colour,negative,positive
1477,colour,negative,positive
59,shipping,positive,negative
80,shipping,,positive
145,shipping,positive,
149,shipping,positive,negative
175,shipping,,positive
227,shipping,negative,
334,shipping,positive,negative
350,shipping,,positive
374,shipping,negative,positive
427,shipping,negative,positive
429,shipping,negative,positive
577,shipping,negative,positive
593,shipping,,negative
763,shipping,positive,negative
905,shipping,negative,
969,shipping,positive,
979,shipping,positive,negative
994,shipping,,positive
1026,shipping,,positive
1044,shipping,,positive
1055,shipping,negative,
1071,shipping,,negative
1131,shipping,,positive
1153,shipping,positive,negative
1255,shipping,negative,
1293,shipping,,positive
1331,shipping,positive,
1339,shipping,negative,positive
1381,shipping,positive,
1394,shipping,negative,positive
1495,shipping,,positive
34,packing,negative,positive
59,packing,negative,positive
165,packing,,positive
192,packing,,positive
277,packing,,positive
278,packing,,positive
376,packing,,positive
405,packing,negative,positive
537,packing,positive,
597,packing,,positive
654,packing,,positive
686,packing,negative,
725,packing,,positive
778,packing,positive,
799,packing,,positive
845,packing,,positive
896,packing,,positive
993,packing,negative,positive
994,packing,,positive
1024,packing,,positive
1065,packing,positive,
1066,packing,,positive
1071,packing,negative,positive
1098,packing,,positive
1228,packing,,positive
1293,packing,,positive
1331,packing,negative,positive
1338,packing,positive,
1418,packing,negative,positive
1470,packing,negative,positive
1478,packing,,positive
1481,packing,,positive
1495,packing,,positive
1508,packing,negative,positive
1517,packing,positive,
