split,dòng gốc,lý do,văn bản (rút gọn)
train,12612,trùng lặp chính xác + xung đột nhãn,"Hàng đóng gói rất đẹp. Quả nhiên người bán đã gửi gắm rất nhiều tâm tư và tình cảm trong lúc gói hàng. Hộp không có dấu hiệu bị móp, chứng tỏ bộ phận vận chuyển đã nâng như nâng trứng, hứng như hứng h"
train,3493,trùng lặp chính xác + xung đột nhãn,"Đóng gói rất chắc chắn, sản phẩm sử dụng rất êm sẽ ủng hộ shop nữa"
train,11811,trùng lặp chính xác + xung đột nhãn,"Đóng gói rất chắc chắn, sản phẩm sử dụng rất êm sẽ ủng hộ shop nữa"
train,7038,trùng lặp chính xác + xung đột nhãn,Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn
train,9231,trùng lặp chính xác + xung đột nhãn,Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn
train,11675,trùng lặp chính xác + xung đột nhãn,Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn
train,3070,trùng lặp theo khoá so trùng + xung đột nhãn,"Sản phẩm rất xinh đẹp tuyệt vời, tôi không thể trông đợi gì hơn. Cảm ơn nhà cung cấp, nhà sản xuất, cảm ơn người bán hàng, cảm ơn sàn thương mại điện tử, cảm ơn người vận chuyển để tôi có cơ hội dùng "
train,3629,trùng lặp theo khoá so trùng + xung đột nhãn,"Sản phẩm rất xinh đẹp tuyệt vời, tôi không thể trông đợi gì hơn. Cảm ơn nhà cung cấp, nhà sản xuất, cảm ơn người bán hàng, cảm ơn sàn thương mại điện tử, cảm ơn người vận chuyển để tôi có cơ hội dùng "
train,7764,trùng lặp theo khoá so trùng + xung đột nhãn,"Sản phẩm rất xinh đẹp tuyệt vời, tôi không thể trông đợi gì hơn. Cảm ơn nhà cung cấp, nhà sản xuất, cảm ơn người bán hàng, cảm ơn sàn thương mại điện tử, cảm ơn người vận chuyển để tôi có cơ hội dùng "
train,9316,trùng lặp theo khoá so trùng + xung đột nhãn,"Chất lượng son ... Giá học sinh 


Hehe mn rảnh qua tường e mua trị mụn và dưỡng da nạ 🥰🥰🥰🥰"
train,9892,trùng lặp theo khoá so trùng + xung đột nhãn,"Chất lượng son ... Giá học sinh 


Hehe mn rảnh qua tường e mua trị mụn và dưỡng da nạ 🥰🥰🥰🥰"
